"headers","previewRows","limitReached"
"Product Name","Personal Auto","False"
"Policy ID","100265316",""
"Payment Schedule Name","upfront",""
"Exposure ID","100265190",""
"Exposure Name","vehicle",""
"Peril ID","100265198",""
"Peril Name","roadside_service",""
"Issued Date","20231017",""
"Premium","25.00",""
"Indemnity per Item","0.00",""
"Indemnity per Event","150.00",""
"Indemnity in Aggregate","0.00",""
"Lump Sum Payment","0.00",""
"Deductible","0.00",""
"Coverage Start","20231017",""
"Coverage End","20241017",""
"Modification Name","modification.policy.create",""
"Exposure vehicle_type","SUV",""
"Exposure body_style","",""
"Exposure motorcycle_cc","",""
"Exposure vin","2HGEJ6526VH515429",""
"Exposure year","1997",""
"Exposure make","HONDA",""
"Exposure model","Civic",""
"Exposure vehicle_value","90000",""
"Exposure unrepaired_damage","",""
"Exposure ownership_indicator","Owned - Financed",""
"Exposure vehicle_plated_state","AL",""
"Exposure license_plate","",""
"Exposure annual_miles","",""
"Exposure primary_vehicle_use","Drive to Work / School",""
"Exposure travel_radius","",""
"Exposure travel_radius_farm","",""
"Exposure distance_to_work_school","Less than 10 Miles",""
"Policy channel","Agent",""
"Policy multiple_drivers","No - Just Policyholder",""
"Policy drivers 1 driver_firstname","",""
"Policy drivers 1 driver_lastname","",""
"Policy drivers 1 driver_license","",""
"Policy drivers 1 driver_license_state","",""
"Policy drivers 1 driver_designation","",""
"Policy drivers 2 driver_firstname","",""
"Policy drivers 2 driver_lastname","",""
"Policy drivers 2 driver_license","",""
"Policy drivers 2 driver_license_state","",""
"Policy drivers 2 driver_designation","",""
"Policy 10_year_felony_conviction","No",""
"Policy insurance_fraud_conviction","No",""
"Policy atfault_claims_past_5_years","1",""
"Policy run_third_party_reports","Yes - Please Run Reports - To Provide the Best Quote",""
"","Personal Auto",""
"","100265316",""
"","upfront",""
"","100265190",""
"","vehicle",""
"","100265194",""
"","collision",""
"","20231017",""
"","1178.00",""
"","unlimited",""
"","0.00",""
"","0.00",""
"","1000.00",""
"","20231017",""
"","20241017",""
"","modification.policy.create",""
"","SUV",""
"","2HGEJ6526VH515429",""
"","1997",""
"","HONDA",""
"","Civic",""
"","90000",""
"","Owned - Financed",""
"","AL",""
"","Drive to Work / School",""
"","Less than 10 Miles",""
"","Agent",""
"","No - Just Policyholder",""
"","No",""
"","No",""
"","1",""
"","Yes - Please Run Reports - To Provide the Best Quote",""
"","Personal Auto",""
"","100265316",""
"","upfront",""
"","100265190",""
"","vehicle",""
"","100265602",""
"","underinsured_motorist",""
"","20231017",""
"","29.90",""
"","100000.00",""
"","300000.00",""
"","0.00",""
"","0.00",""
"","20231017",""
"","20241017",""
"","modification.policy.create",""
"","SUV",""
"","2HGEJ6526VH515429",""
"","1997",""
"","HONDA",""
"","Civic",""
"","90000",""
"","Owned - Financed",""
"","AL",""
"","Drive to Work / School",""
"","Less than 10 Miles",""
"","Agent",""
"","No - Just Policyholder",""
"","No",""
"","No",""
"","1",""
"","Yes - Please Run Reports - To Provide the Best Quote",""
"","Personal Auto",""
"","100265316",""
"","upfront",""
"","100265190",""
"","vehicle",""
"","100265192",""
"","bodily_injury",""
"","20231017",""
"","2564.00",""
"","30000.00",""
"","30000.00",""
"","50000.00",""
"","0.00",""
"","1000.00",""
"","20231017",""
"","20241017",""
"","modification.policy.create",""
"","SUV",""
"","2HGEJ6526VH515429",""
"","1997",""
"","HONDA",""
"","Civic",""
"","90000",""
"","Owned - Financed",""
"","AL",""
"","Drive to Work / School",""
"","Less than 10 Miles",""
"","Agent",""
"","No - Just Policyholder",""
"","No",""
"","No",""
"","1",""
"","Yes - Please Run Reports - To Provide the Best Quote",""
"","Personal Auto",""
"","100265316",""
"","upfront",""
"","100265190",""
"","vehicle",""
"","100265600",""
"","a_third_party_liability",""
"","20231017",""
"","4558.00",""
"","100000.00",""
"","100000.00",""
"","300000.00",""
"","0.00",""
"","0.00",""
